Year,A. Household net financial wealth (A1-A2),A1. Household financial assets,A2. Household financial liabilities,B. Household net wealth (B1+B2),B1. Household net financial wealth,B2. Housing and land value,C. Net equity in housing (C1-C2),C1. Housing and land value,C2. Housing loans,Household disposable income (quarterly),Household disposable income (year ended),Household financial assets,Household financial liabilities,Household net financial wealth,Housing and land value,Household net wealth,Net equity in housing,Number of households (at end of quarter),Number of private dwellings (at end of quarter),Expenditure GDP (quarterly),Expenditure GDP (annual),Production GDP (annual),Household financial liabilities (including rental properties),Household financial liabilities (including rental properties) as a percentage of household disposable income,D. Total interest payments (D1+D2),D1. Interest payments on housing loans (including rental properties),D2. Interest payments on consumer loans,D3. Total interest payments as a percentage of household disposable income,E. Total interest payments (E1+E2),E1. Interest payments on housing loans (including rental properties),E2. Interest payments on consumer loans,E3. Total interest payments as a percentage of household disposable income,
Jun 2001,293,379,354,506,61,127,481,557,293,379,188,178,139,717,188,178,48,461,18,658,72,542,489,84,404,259,664,193,1,425,200,1,
Sep 2001,295,736,357,724,61,988,486,286,295,736,190,550,141,423,190,550,49,127,18,873,73,591,486,84,402,259,661,192,1,429,400,1,
Dec 2001,298,337,361,799,63,462,492,840,298,337,194,503,144,371,194,503,50,132,19,049,74,703,484,85,399,260,660,193,1,434,200,1,
Mar 2002,299,288,363,901,64,613,500,170,299,288,200,881,149,610,200,881,51,271,19,184,75,765,480,85,395,265,660,197,1,439,300,1,
Jun 2002,300,886,368,166,67,280,505,706,300,886,204,820,152,414,204,820,52,407,18,966,76,073,484,88,396,269,665,200,1,444,600,1,
Sep 2002,303,291,371,837,68,546,515,989,303,291,212,698,159,336,212,698,53,362,19,149,76,348,487,90,397,279,676,209,1,449,500,1,
Dec 2002,304,755,375,341,70,586,526,907,304,755,222,151,167,170,222,151,54,981,19,417,76,717,489,92,397,290,687,218,1,455,500,1,
Mar 2003,308,597,381,078,72,481,542,511,308,597,233,914,177,111,233,914,56,803,19,773,77,305,493,94,399,303,702,229,1,462,300,1,
Jun 2003,321,190,396,324,75,133,566,093,321,190,244,903,186,096,244,903,58,807,20,412,78,750,503,95,408,311,719,236,1,470,200,1,
Sep 2003,334,181,411,865,77,684,600,277,334,181,266,096,205,038,266,096,61,058,20,855,80,457,512,97,415,331,746,255,1,476,200,1,
Dec 2003,347,326,428,392,81,066,637,756,347,326,290,430,226,515,290,430,63,914,21,301,82,340,520,98,422,353,775,275,1,482,900,1,
Mar 2004,359,757,443,392,83,635,662,432,359,757,302,675,236,235,302,675,66,441,21,747,84,315,526,99,427,359,786,280,1,490,700,1,
Jun 2004,363,232,450,176,86,944,672,946,363,232,309,714,240,750,309,714,68,964,22,264,86,168,522,101,422,359,781,279,1,498,400,1,
Sep 2004,368,779,458,161,89,382,691,789,368,779,323,010,251,762,323,010,71,248,22,685,87,997,521,102,419,367,786,286,1,506,200,1,
Dec 2004,374,968,467,844,92,876,710,328,374,968,335,360,261,233,335,360,74,127,23,076,89,773,521,103,418,374,791,291,1,514,200,1,
Mar 2005,379,352,475,294,95,941,731,810,379,352,352,458,275,461,352,458,76,997,23,440,91,465,520,105,415,385,800,301,1,520,800,1,
Jun 2005,392,280,491,876,99,595,756,838,392,280,364,558,284,642,364,558,79,916,23,581,92,781,530,107,423,393,816,307,1,528,000,1,
Sep 2005,405,276,507,910,102,633,782,762,405,276,377,485,294,658,377,485,82,827,23,963,94,060,540,109,431,401,832,313,1,534,700,1,
Dec 2005,418,096,524,359,106,262,812,232,418,096,394,135,308,168,394,135,85,967,24,393,95,377,550,111,438,413,852,323,1,540,100,1,
Mar 2006,433,921,542,992,109,071,838,782,433,921,404,861,316,104,404,861,88,757,24,871,96,808,561,113,448,418,866,327,1,546,300,1,
Jun 2006,447,581,560,464,112,883,856,866,447,581,409,285,317,630,409,285,91,655,25,451,98,679,568,114,454,415,868,322,1,552,600,1,
Sep 2006,461,246,576,751,115,505,880,875,461,246,419,629,325,339,419,629,94,290,26,016,100,731,573,115,458,417,874,323,1,557,300,1,
Dec 2006,476,193,595,361,119,168,911,949,476,193,435,756,338,221,435,756,97,535,26,620,102,957,578,116,463,423,886,329,1,561,600,1,
Mar 2007,489,227,612,077,122,851,945,909,489,227,456,682,355,477,456,682,101,205,27,263,105,349,581,117,464,433,898,337,1,566,900,1,
Jun 2007,493,139,620,480,127,341,964,184,493,139,471,045,366,393,471,045,104,653,28,427,108,325,573,118,455,435,890,338,1,571,600,1,
Sep 2007,499,259,629,218,129,960,974,842,499,259,475,583,368,422,475,583,107,162,28,961,111,270,565,117,449,427,876,331,1,576,200,1,
Dec 2007,500,316,633,548,133,233,978,114,500,316,477,798,367,841,477,798,109,957,29,346,113,997,556,117,439,419,858,323,1,581,100,1,
Mar 2008,499,554,635,278,135,724,977,580,499,554,478,026,365,570,478,026,112,456,29,584,116,318,546,117,429,411,840,314,1,586,000,1,
Jun 2008,497,186,634,078,136,892,956,421,497,186,459,235,345,612,459,235,113,622,29,200,117,091,542,117,425,392,817,295,1,590,400,1,
Sep 2008,492,297,629,981,137,685,943,738,492,297,451,441,337,071,451,441,114,370,29,339,117,470,536,117,419,384,803,287,1,594,200,1,
Dec 2008,487,297,625,475,138,177,928,491,487,297,441,194,326,366,441,194,114,828,29,529,117,652,532,117,414,375,789,277,1,598,200,1,
Mar 2009,483,057,621,829,138,772,920,431,483,057,437,374,321,570,437,374,115,804,29,768,117,836,528,118,410,371,781,273,1,601,400,1,
Jun 2009,488,214,628,502,140,288,933,137,488,214,444,923,327,962,444,923,116,961,30,153,118,789,529,118,411,375,786,276,1,604,000,1,
Sep 2009,496,548,637,497,140,949,954,101,496,548,457,553,339,669,457,553,117,883,30,468,119,918,532,118,414,382,796,283,1,606,100,1,
Dec 2009,502,184,644,152,141,968,968,548,502,184,466,364,347,649,466,364,118,715,30,808,121,198,531,117,414,385,799,287,1,608,600,1,
Mar 2010,508,214,650,933,142,719,976,230,508,214,468,016,348,380,468,016,119,636,31,174,122,604,531,116,415,382,796,284,1,611,400,1,
Jun 2010,506,713,650,803,144,091,970,636,506,713,463,923,343,704,463,923,120,218,31,595,124,046,525,116,408,374,782,277,1,614,600,1,
Sep 2010,512,224,656,619,144,395,974,238,512,224,462,013,341,357,462,013,120,657,31,999,125,577,523,115,408,368,776,272,1,617,400,1,
Dec 2010,518,075,662,764,144,689,980,812,518,075,462,737,341,930,462,737,120,807,32,417,127,185,521,114,407,364,771,269,1,620,500,1,
Mar 2011,527,157,672,278,145,121,989,483,527,157,462,326,340,961,462,326,121,365,32,847,128,858,522,113,409,359,768,265,1,623,400,1,
Jun 2011,525,511,672,019,146,508,985,691,525,511,460,181,338,334,460,181,121,847,33,452,130,715,514,112,402,352,754,259,1,626,000,1,
Sep 2011,525,722,672,356,146,634,994,215,525,722,468,493,346,392,468,493,122,101,33,841,132,556,507,111,397,353,750,261,1,628,200,1,
Dec 2011,529,567,676,580,147,013,999,048,529,567,469,482,347,214,469,482,122,267,34,176,134,316,504,109,394,350,744,259,1,630,400,1,
Mar 2012,532,523,680,288,147,765,1,002,488,532,523,469,965,346,869,469,965,123,096,34,457,135,926,500,109,392,346,738,255,1,633,300,
Jun 2012,538,946,688,711,149,765,1,015,811,538,946,476,865,352,704,476,865,124,161,34,014,136,488,505,110,395,349,744,258,1,636,000,
Sep 2012,549,166,699,992,150,826,1,035,423,549,166,486,257,361,014,486,257,125,244,34,258,136,906,511,110,401,355,756,264,1,638,900,
Dec 2012,558,241,710,922,152,681,1,054,581,558,241,496,340,369,539,496,340,126,801,34,521,137,250,518,111,407,362,768,269,1,641,700,
Mar 2013,566,637,721,099,154,462,1,075,485,566,637,508,848,380,121,508,848,128,727,34,801,137,594,524,112,412,370,782,276,1,645,000,
Jun 2013,574,478,731,587,157,109,1,096,396,574,478,521,918,391,201,521,918,130,717,35,538,139,118,526,113,413,375,788,281,1,648,500,
Sep 2013,587,370,746,271,158,901,1,123,919,587,370,536,549,404,065,536,549,132,484,35,794,140,654,531,113,418,381,799,287,1,653,200,
Dec 2013,600,323,761,401,161,078,1,144,883,600,323,544,560,410,341,544,560,134,219,36,009,142,143,536,113,422,383,805,289,1,657,600,
Mar 2014,606,958,770,431,163,472,1,155,144,606,958,548,186,412,395,548,186,135,791,36,182,143,524,537,114,423,382,805,287,1,663,000,
Jun 2014,621,792,787,060,165,268,1,178,240,621,792,556,447,418,985,556,447,137,462,36,664,144,650,544,114,430,385,815,290,1,668,600,
Sep 2014,639,633,806,195,166,562,1,203,170,639,633,563,537,424,952,563,537,138,585,36,841,145,697,553,114,439,387,826,292,1,674,900,
Dec 2014,654,037,822,610,168,573,1,234,993,654,037,580,957,440,759,580,957,140,198,37,064,146,752,561,115,446,396,842,300,1,680,400,
Mar 2015,669,002,840,658,171,656,1,265,435,669,002,596,433,453,807,596,433,142,626,37,334,147,903,568,116,452,403,856,307,1,686,700,
Jun 2015,677,140,851,370,174,229,1,296,335,677,140,619,194,474,167,619,194,145,027,38,361,149,600,569,116,453,414,867,317,1,693,100,
Sep 2015,684,382,861,461,177,079,1,334,471,684,382,650,089,502,211,650,089,147,879,38,699,151,459,569,117,452,429,881,332,1,700,000,
Dec 2015,693,532,873,715,180,183,1,351,799,693,532,658,268,507,531,658,268,150,737,39,061,153,455,569,117,452,429,881,331,1,705,800,
Mar 2016,698,509,882,174,183,666,1,378,632,698,509,680,123,526,479,680,123,153,644,39,446,155,568,567,118,449,437,886,338,1,712,300,
Jun 2016,716,383,904,112,187,729,1,437,434,716,383,721,051,563,306,721,051,157,745,41,023,158,230,571,119,453,456,908,356,1,719,800,
Sep 2016,736,520,928,075,191,554,1,489,073,736,520,752,553,591,127,752,553,161,425,41,538,161,069,576,119,457,467,924,367,1,727,600,
Dec 2016,755,644,950,709,195,065,1,517,253,755,644,761,609,597,113,761,609,164,496,42,010,164,017,580,119,461,464,925,364,1,734,100,
Mar 2017,775,037,973,859,198,822,1,547,574,775,037,772,537,604,943,772,537,167,594,42,423,166,994,583,119,464,463,927,362,1,741,900,
Jun 2017,794,978,996,883,201,905,1,576,419,794,978,781,441,610,968,781,441,170,473,43,242,169,213,589,119,470,462,932,361,1,750,300,
Sep 2017,819,640,1,024,006,204,366,1,607,654,819,640,788,014,615,308,788,014,172,706,43,856,171,532,597,119,478,459,937,359,1,758,
Dec 2017,848,074,1,055,933,207,859,1,647,908,848,074,799,834,624,153,799,834,175,681,44,449,173,971,607,119,487,460,947,359,1,765,
Mar 2018,865,442,1,076,858,211,416,1,675,845,865,442,810,403,631,524,810,403,178,879,44,945,176,493,610,120,490,459,950,358,1,772,
Jun 2018,873,495,1,088,432,214,937,1,692,197,873,495,818,701,636,272,818,701,182,429,46,125,179,375,607,120,487,456,943,355,1,781,
Sep 2018,881,074,1,099,032,217,958,1,710,715,881,074,829,641,644,232,829,641,185,409,46,635,182,154,603,120,484,455,939,354,1,788,
Dec 2018,877,746,1,099,435,221,690,1,717,161,877,746,839,416,650,461,839,416,188,954,47,205,184,910,595,120,475,454,929,352,1,794,
Mar 2019,888,550,1,113,821,225,272,1,740,561,888,550,852,011,659,759,852,011,192,252,47,819,187,784,593,120,473,454,927,351,1,802,
Jun 2019,864,891,1,093,923,229,032,1,720,176,864,891,855,284,659,129,855,284,196,155,48,605,190,264,575,120,455,450,904,346,1,809,
Sep 2019,885,586,1,117,894,232,308,1,760,623,885,586,875,037,675,401,875,037,199,636,49,122,192,751,580,121,459,454,913,350,1,817,
Dec 2019,917,374,1,153,667,236,293,1,815,735,917,374,898,360,694,838,898,360,203,522,49,535,195,081,591,121,470,461,931,356,1,824,
Mar 2020,934,522,1,173,847,239,325,1,862,888,934,522,928,366,721,496,928,366,206,869,50,464,197,726,594,121,473,470,942,365,1,832,
Jun 2020,956,696,1,196,412,239,716,1,885,023,956,696,928,327,719,858,928,327,208,469,49,073,198,194,604,121,483,468,951,363,1,841,
Sep 2020,1,007,798,1,251,518,243,721,1,976,170,1,007,798,968,372,755,476,968,372,212,896,50,467,199,538,627,122,505,485,990,379,
Dec 2020,1,098,510,1,348,387,249,876,2,146,120,1,098,510,1,047,609,828,614,1,047,609,218,995,51,247,201,250,670,124,546,521,
Mar 2021,1,163,866,1,419,615,255,749,2,307,726,1,163,866,1,143,860,918,905,1,143,860,224,955,52,570,203,356,698,126,572,562,
